process_group,process,process_label_status,process_classification_source,process_family,base_process,innovation_class,experimental_method,entries
Experimental,Pending,invalid process label,invalid process label,Not reported,Not reported,Not reported,NA,10
Wet,Pulped Natural,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,8
One Of A Kind,Washed,reported,reported process,Washed,Washed,Conventional,NA,8
NA,NATURAL ANAEROBICO,reported,reported process,Experimental,Natural,Experimental,Anaerobic,8
Ready to Bid on Taiwan's Best Coffees?,Honey,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,7
NA,Semi-Washed,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,7
NA,Anaerobic Natural,reported,reported process,Experimental,Natural,Experimental,Anaerobic,7
NA,ANAEROBIC WASHED,reported,reported process,Experimental,Washed,Experimental,Anaerobic,7
One Of A Kind,Natural,reported,reported process,Natural,Natural,Conventional,NA,6
Honduras Traditional Varieties,Washed,reported,reported process,Washed,Washed,Conventional,NA,6
Ready to Bid on Taiwan's Best Coffees?,Washed,reported,reported process,Washed,Washed,Conventional,NA,6
Experimental,Natural Anaerobico,reported,reported process,Experimental,Natural,Experimental,Anaerobic,6
Experimental,Fermentation,reported,reported process,Experimental,Not reported,Experimental,Fermentation unspecified,6
Washed + Honey,Pulped Natural,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,5
Experimental,Anaerobic fermentation,reported,reported process,Experimental,Not reported,Experimental,Anaerobic,5
NA,Anaeróbico,reported,reported process,Experimental,Not reported,Experimental,Anaerobic,5
Experimental,Lavado / Anaerobico,reported,reported process,Experimental,Washed,Experimental,Anaerobic,5
Experimental,Washed,reported,reported process,Experimental,Washed,Experimental,Experimental unspecified,5
Parainema Variety,Washed,reported,reported process,Washed,Washed,Conventional,NA,4
Washed + Honey,Washed,reported,reported process,Washed,Washed,Conventional,NA,4
Experimental,Natural,reported,reported process,Experimental,Natural,Experimental,Experimental unspecified,4
Experimental,Natural / Anaerobico,reported,reported process,Experimental,Natural,Experimental,Anaerobic,4
NA,Anaerobic Washed,reported,reported process,Experimental,Washed,Experimental,Anaerobic,4
Honduras Traditional Varieties,Honey,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,3
One Of A Kind,Honey,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,3
Washed + Honey,Pulped,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,3
NA,Dry Hulled,reported,reported process,Natural,Natural,Conventional,NA,3
Exotic Varieties,Natural,reported,reported process,Natural,Natural,Conventional,NA,3
Washed + Honey,Lavado,reported,reported process,Washed,Washed,Conventional,NA,3
NA,Wet Hulled,reported,reported process,Wet hulled,Wet hulled,Conventional,NA,3
NA,Natural Anaerobico,reported,reported process,Experimental,Natural,Experimental,Anaerobic,3
NA,ANAEROBIC WASH,reported,reported process,Experimental,Washed,Experimental,Anaerobic,3
NA,WASHED ANAEROBICO,reported,reported process,Experimental,Washed,Experimental,Anaerobic,3
Washed + Honey,Demucilaged,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,2
Exotic Natural & Honey,Honey,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,2
Traditional Honey & Natural Processes,Semi lavado,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,2
Parainema Variety,Natural,reported,reported process,Natural,Natural,Conventional,NA,2
NA,Wet Hull,reported,reported process,Wet hulled,Wet hulled,Conventional,NA,2
NA,Honey Anaerobic,reported,reported process,Experimental,Honey / pulped natural,Experimental,Anaerobic,2
Experimental,Natural / Maceracion Carbonica,reported,reported process,Experimental,Natural,Experimental,Carbonic maceration,2
Experimental,Anaerobic Fermentation,reported,reported process,Experimental,Not reported,Experimental,Anaerobic,2
Experimental,Fermented,reported,reported process,Experimental,Not reported,Experimental,Fermentation unspecified,2
Experimental,Macro-aerobic fermentation,reported,reported process,Experimental,Not reported,Experimental,Aerobic fermentation,2
Experimental,Washed Anaerobico,reported,reported process,Experimental,Washed,Experimental,Anaerobic,2
Traditional Honey & Natural Processes,Black Honey,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,1
Washed + Honey,Depulped,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,1
NA,Despolpado,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,1
Exotic Varieties,Honey,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,1
Natural & Honey,Honey,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,1
Wet,Honey,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,1
NA,"Honey (Semi-
Washed)",reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,1
NA,Honey Caramella,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,1
NA,Natural Honey,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,1
NA,SEMI-WASHED,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,1
NA,SEMIL – WASHED,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,1
Washed + Honey,SemiWashed,reported,reported process,Honey / pulped natural,Honey / pulped natural,Conventional,NA,1
Honduras Traditional Varieties,Natural,reported,reported process,Natural,Natural,Conventional,NA,1
NA,Fully Washed,reported,reported process,Washed,Washed,Conventional,NA,1
Wet,Washed,reported,reported process,Washed,Washed,Conventional,NA,1
NA,Anaerobic Honey,reported,reported process,Experimental,Honey / pulped natural,Experimental,Anaerobic,1
NA,Carbonic Maceration Honey,reported,reported process,Experimental,Honey / pulped natural,Experimental,Carbonic maceration,1
Experimental,Fermented Honey,reported,reported process,Experimental,Honey / pulped natural,Experimental,Fermentation unspecified,1
NA,Fermented Honey process,reported,reported process,Experimental,Honey / pulped natural,Experimental,Fermentation unspecified,1
NA,HONEY ANAEROBICO,reported,reported process,Experimental,Honey / pulped natural,Experimental,Anaerobic,1
Experimental,Honey,reported,reported process,Experimental,Honey / pulped natural,Experimental,Experimental unspecified,1
Experimental,Honey / Anaerobico,reported,reported process,Experimental,Honey / pulped natural,Experimental,Anaerobic,1
Experimental,Honey Anaerobico,reported,reported process,Experimental,Honey / pulped natural,Experimental,Anaerobic,1
NA,Honey double fermentation,reported,reported process,Experimental,Honey / pulped natural,Experimental,Double fermentation,1
NA,Honey – Anaerobic,reported,reported process,Experimental,Honey / pulped natural,Experimental,Anaerobic,1
NA,Anaerobic NP,reported,reported process,Experimental,Natural,Experimental,Anaerobic,1
NA,Carbonic Maceration Natural,reported,reported process,Experimental,Natural,Experimental,Carbonic maceration,1
Experimental,Fermented Natural,reported,reported process,Experimental,Natural,Experimental,Fermentation unspecified,1
NA,Fermented Natural Process,reported,reported process,Experimental,Natural,Experimental,Fermentation unspecified,1
NA,Lactic Natural,reported,reported process,Experimental,Natural,Experimental,Lactic fermentation,1
NA,Mossto Natural,reported,reported process,Experimental,Natural,Experimental,Mosto fermentation,1
NA,NATURAL ANAEROBIC,reported,reported process,Experimental,Natural,Experimental,Anaerobic,1
NA,Natural Double Fermentation,reported,reported process,Experimental,Natural,Experimental,Double fermentation,1
NA,Natural – Carbonic Maceration,reported,reported process,Experimental,Natural,Experimental,Carbonic maceration,1
Experimental,Aerobic Fermentation,reported,reported process,Experimental,Not reported,Experimental,Aerobic fermentation,1
Experimental,Anaerobic,reported,reported process,Experimental,Not reported,Experimental,Anaerobic,1
NA,Double Anaerobic,reported,reported process,Experimental,Not reported,Experimental,Double fermentation,1
Experimental,Pedro Bras Top,reported,reported process,Experimental,Not reported,Experimental,Experimental unspecified,1
NA,ANAEROBIC MC WASHED,reported,reported process,Experimental,Washed,Experimental,Carbonic maceration,1
NA,Washed – Anaerobic,reported,reported process,Experimental,Washed,Experimental,Anaerobic,1
NA,,not reported,not reported,Not reported,Not reported,Not reported,NA,1
NA,NA,not reported,not reported,Not reported,Not reported,Not reported,NA,1
