country,year,program,process_family,entries,total_entries,share_all
Burundi,2014,COE,Not reported,27,27,1
Burundi,2015,COE,Not reported,24,24,1
Burundi,2017,COE,Not reported,23,23,1
Burundi,2018,COE,Washed,29,29,1
Burundi,2019,COE,Natural,2,23,0.08695652173913043
Burundi,2019,COE,Washed,21,23,0.9130434782608695
Colombia,2005,COE,Not reported,58,58,1
Colombia,2006,COE,Not reported,53,53,1
Colombia,2007,COE,Not reported,30,30,1
Colombia,2008,COE,Not reported,18,18,1
Colombia,2009,COE,Not reported,27,27,1
Colombia,2010,COE,Not reported,21,21,1
Colombia,2011,COE,Not reported,22,22,1
Colombia,2012,COE,Not reported,30,30,1
Colombia,2013,COE,Not reported,20,20,1
Colombia,2014,COE,Not reported,28,28,1
Colombia,2015,COE,Not reported,28,28,1
Colombia,2017,COE,Not reported,30,30,1
Colombia,2018,COE,Experimental,1,27,0.037037037037037035
Colombia,2018,COE,Honey / pulped natural,3,27,0.1111111111111111
Colombia,2018,COE,Washed,23,27,0.8518518518518519
Colombia,2019,COE,Experimental,2,29,0.06896551724137931
Colombia,2019,COE,Honey / pulped natural,2,29,0.06896551724137931
Colombia,2019,COE,Natural,4,29,0.13793103448275862
Colombia,2019,COE,Washed,21,29,0.7241379310344828
Colombia,2021,COE,Experimental,4,23,0.17391304347826086
Colombia,2021,COE,Honey / pulped natural,2,23,0.08695652173913043
Colombia,2021,COE,Natural,4,23,0.17391304347826086
Colombia,2021,COE,Washed,13,23,0.5652173913043478
Colombia,2022,COE,Experimental,3,22,0.13636363636363635
Colombia,2022,COE,Honey / pulped natural,2,22,0.09090909090909091
Colombia,2022,COE,Natural,4,22,0.18181818181818182
Colombia,2022,COE,Washed,13,22,0.5909090909090909
Colombia,2023,COE,Experimental,6,28,0.21428571428571427
Colombia,2023,COE,Honey / pulped natural,6,28,0.21428571428571427
Colombia,2023,COE,Natural,2,28,0.07142857142857142
Colombia,2023,COE,Washed,14,28,0.5
Costa Rica,2007,COE,Not reported,25,25,1
Costa Rica,2008,COE,Not reported,30,30,1
Costa Rica,2009,COE,Not reported,24,24,1
Costa Rica,2011,COE,Not reported,31,31,1
Costa Rica,2012,COE,Not reported,27,27,1
Costa Rica,2013,COE,Not reported,22,22,1
Costa Rica,2014,COE,Not reported,24,24,1
Costa Rica,2015,COE,Not reported,35,35,1
Costa Rica,2016,COE,Not reported,21,21,1
Costa Rica,2017,COE,Not reported,29,29,1
Costa Rica,2018,COE,Experimental,2,36,0.05555555555555555
Costa Rica,2018,COE,Honey / pulped natural,18,36,0.5
Costa Rica,2018,COE,Natural,9,36,0.25
Costa Rica,2018,COE,Washed,7,36,0.19444444444444445
Costa Rica,2019,COE,Experimental,3,28,0.10714285714285714
Costa Rica,2019,COE,Honey / pulped natural,15,28,0.5357142857142857
Costa Rica,2019,COE,Natural,7,28,0.25
Costa Rica,2019,COE,Washed,3,28,0.10714285714285714
Costa Rica,2021,COE,Experimental,5,30,0.16666666666666666
Costa Rica,2021,COE,Honey / pulped natural,12,30,0.4
Costa Rica,2021,COE,Natural,7,30,0.23333333333333334
Costa Rica,2021,COE,Washed,6,30,0.2
Costa Rica,2022,COE,Experimental,5,22,0.22727272727272727
Costa Rica,2022,COE,Honey / pulped natural,8,22,0.36363636363636365
Costa Rica,2022,COE,Natural,4,22,0.18181818181818182
Costa Rica,2022,COE,Washed,5,22,0.22727272727272727
Costa Rica,2023,COE,Experimental,6,30,0.2
Costa Rica,2023,COE,Honey / pulped natural,7,30,0.23333333333333334
Costa Rica,2023,COE,Natural,11,30,0.36666666666666664
Costa Rica,2023,COE,Washed,6,30,0.2
Costa Rica,2024,COE,Experimental,6,30,0.2
Costa Rica,2024,COE,Honey / pulped natural,10,30,0.3333333333333333
Costa Rica,2024,COE,Natural,6,30,0.2
Costa Rica,2024,COE,Washed,8,30,0.26666666666666666
Costa Rica,2024,NW,Natural,1,1,1
Costa Rica,2025,COE,Experimental,10,30,0.3333333333333333
Costa Rica,2025,COE,Honey / pulped natural,4,30,0.13333333333333333
Costa Rica,2025,COE,Natural,6,30,0.2
Costa Rica,2025,COE,Washed,10,30,0.3333333333333333
Ecuador,2021,COE,Experimental,2,23,0.08695652173913043
Ecuador,2021,COE,Honey / pulped natural,6,23,0.2608695652173913
Ecuador,2021,COE,Natural,3,23,0.13043478260869565
Ecuador,2021,COE,Washed,12,23,0.5217391304347826
Ecuador,2022,COE,Experimental,8,18,0.4444444444444444
Ecuador,2022,COE,Honey / pulped natural,1,18,0.05555555555555555
Ecuador,2022,COE,Natural,4,18,0.2222222222222222
Ecuador,2022,COE,Washed,5,18,0.2777777777777778
Ecuador,2023,COE,Experimental,8,16,0.5
Ecuador,2023,COE,Natural,3,16,0.1875
Ecuador,2023,COE,Washed,5,16,0.3125
El Salvador,2003,COE,Not reported,31,31,1
El Salvador,2004,COE,Not reported,35,35,1
El Salvador,2005,COE,Not reported,17,17,1
El Salvador,2006,COE,Not reported,23,23,1
El Salvador,2007,COE,Not reported,23,23,1
El Salvador,2008,COE,Not reported,36,36,1
El Salvador,2009,COE,Not reported,33,33,1
El Salvador,2010,COE,Not reported,30,30,1
El Salvador,2011,COE,Not reported,42,42,1
El Salvador,2012,COE,Not reported,28,28,1
El Salvador,2013,COE,Not reported,25,25,1
El Salvador,2014,COE,Not reported,29,29,1
El Salvador,2015,COE,Not reported,26,26,1
El Salvador,2017,COE,Not reported,24,24,1
El Salvador,2018,COE,Honey / pulped natural,13,38,0.34210526315789475
El Salvador,2018,COE,Natural,13,38,0.34210526315789475
El Salvador,2018,COE,Washed,12,38,0.3157894736842105
El Salvador,2019,COE,Experimental,1,25,0.04
El Salvador,2019,COE,Honey / pulped natural,9,25,0.36
El Salvador,2019,COE,Natural,8,25,0.32
El Salvador,2019,COE,Washed,7,25,0.28
El Salvador,2021,COE,Experimental,2,24,0.08333333333333333
El Salvador,2021,COE,Honey / pulped natural,6,24,0.25
El Salvador,2021,COE,Natural,12,24,0.5
El Salvador,2021,COE,Washed,4,24,0.16666666666666666
El Salvador,2022,COE,Experimental,3,27,0.1111111111111111
El Salvador,2022,COE,Honey / pulped natural,2,27,0.07407407407407407
El Salvador,2022,COE,Natural,17,27,0.6296296296296297
El Salvador,2022,COE,Washed,5,27,0.18518518518518517
El Salvador,2023,COE,Experimental,12,30,0.4
El Salvador,2023,COE,Honey / pulped natural,4,30,0.13333333333333333
El Salvador,2023,COE,Natural,11,30,0.36666666666666664
El Salvador,2023,COE,Washed,3,30,0.1
El Salvador,2024,COE,Experimental,12,30,0.4
El Salvador,2024,COE,Honey / pulped natural,5,30,0.16666666666666666
El Salvador,2024,COE,Natural,10,30,0.3333333333333333
El Salvador,2024,COE,Washed,3,30,0.1
El Salvador,2024,NW,Experimental,1,3,0.3333333333333333
El Salvador,2024,NW,Natural,2,3,0.6666666666666666
El Salvador,2025,COE,Experimental,9,29,0.3103448275862069
El Salvador,2025,COE,Honey / pulped natural,4,29,0.13793103448275862
El Salvador,2025,COE,Natural,12,29,0.41379310344827586
El Salvador,2025,COE,Washed,4,29,0.13793103448275862
Ethiopia,2021,COE,Experimental,6,30,0.2
Ethiopia,2021,COE,Honey / pulped natural,1,30,0.03333333333333333
Ethiopia,2021,COE,Natural,22,30,0.7333333333333333
Ethiopia,2021,COE,Washed,1,30,0.03333333333333333
Ethiopia,2022,COE,Experimental,3,30,0.1
Ethiopia,2022,COE,Natural,26,30,0.8666666666666667
Ethiopia,2022,COE,Washed,1,30,0.03333333333333333
Ethiopia,2024,COE,Natural,27,27,1
Ethiopia,2024,NW,Natural,13,13,1
Guatemala,2002,COE,Not reported,33,33,1
Guatemala,2006,COE,Not reported,25,25,1
Guatemala,2007,COE,Not reported,19,19,1
Guatemala,2008,COE,Not reported,25,25,1
Guatemala,2009,COE,Not reported,23,23,1
Guatemala,2010,COE,Not reported,28,28,1
Guatemala,2011,COE,Not reported,29,29,1
Guatemala,2012,COE,Not reported,23,23,1
Guatemala,2013,COE,Not reported,20,20,1
Guatemala,2014,COE,Not reported,22,22,1
Guatemala,2015,COE,Not reported,23,23,1
Guatemala,2016,COE,Not reported,17,17,1
Guatemala,2017,COE,Not reported,28,28,1
Guatemala,2018,COE,Honey / pulped natural,4,34,0.11764705882352941
Guatemala,2018,COE,Natural,6,34,0.17647058823529413
Guatemala,2018,COE,Washed,24,34,0.7058823529411765
Guatemala,2019,COE,Natural,3,20,0.15
Guatemala,2019,COE,Washed,17,20,0.85
Guatemala,2021,COE,Experimental,4,28,0.14285714285714285
Guatemala,2021,COE,Natural,8,28,0.2857142857142857
Guatemala,2021,COE,Washed,16,28,0.5714285714285714
Guatemala,2022,COE,Honey / pulped natural,3,30,0.1
Guatemala,2022,COE,Natural,11,30,0.36666666666666664
Guatemala,2022,COE,Washed,16,30,0.5333333333333333
Guatemala,2023,COE,Honey / pulped natural,1,28,0.03571428571428571
Guatemala,2023,COE,Natural,7,28,0.25
Guatemala,2023,COE,Washed,20,28,0.7142857142857143
Guatemala,2024,COE,Honey / pulped natural,3,28,0.10714285714285714
Guatemala,2024,COE,Natural,9,28,0.32142857142857145
Guatemala,2024,COE,Washed,16,28,0.5714285714285714
Guatemala,2024,NW,Natural,3,3,1
Guatemala,2025,COE,Honey / pulped natural,2,30,0.06666666666666667
Guatemala,2025,COE,Natural,11,30,0.36666666666666664
Guatemala,2025,COE,Washed,17,30,0.5666666666666667
Guatemala,2025,NW,Honey / pulped natural,2,5,0.4
Guatemala,2025,NW,Natural,1,5,0.2
Guatemala,2025,NW,Washed,2,5,0.4
Honduras,2004,COE,Not reported,21,21,1
Honduras,2005,COE,Not reported,41,41,1
Honduras,2006,COE,Not reported,33,33,1
Honduras,2007,COE,Not reported,24,24,1
Honduras,2008,COE,Not reported,26,26,1
Honduras,2009,COE,Not reported,39,39,1
Honduras,2010,COE,Not reported,25,25,1
Honduras,2011,COE,Not reported,33,33,1
Honduras,2012,COE,Not reported,20,20,1
Honduras,2013,COE,Not reported,22,22,1
Honduras,2014,COE,Not reported,22,22,1
Honduras,2015,COE,Not reported,34,34,1
Honduras,2016,COE,Not reported,23,23,1
Honduras,2017,COE,Not reported,24,24,1
Honduras,2018,COE,Honey / pulped natural,3,36,0.08333333333333333
Honduras,2018,COE,Natural,2,36,0.05555555555555555
Honduras,2018,COE,Washed,31,36,0.8611111111111112
Honduras,2019,COE,Experimental,1,30,0.03333333333333333
Honduras,2019,COE,Honey / pulped natural,3,30,0.1
Honduras,2019,COE,Natural,4,30,0.13333333333333333
Honduras,2019,COE,Washed,22,30,0.7333333333333333
Honduras,2021,COE,Honey / pulped natural,2,25,0.08
Honduras,2021,COE,Natural,6,25,0.24
Honduras,2021,COE,Washed,17,25,0.68
Honduras,2022,COE,Honey / pulped natural,5,25,0.2
Honduras,2022,COE,Natural,10,25,0.4
Honduras,2022,COE,Washed,10,25,0.4
Honduras,2023,COE,Honey / pulped natural,4,30,0.13333333333333333
Honduras,2023,COE,Natural,7,30,0.23333333333333334
Honduras,2023,COE,Washed,19,30,0.6333333333333333
Honduras,2024,COE,Honey / pulped natural,4,29,0.13793103448275862
Honduras,2024,COE,Natural,9,29,0.3103448275862069
Honduras,2024,COE,Washed,16,29,0.5517241379310345
Honduras,2025,COE,Honey / pulped natural,4,30,0.13333333333333333
Honduras,2025,COE,Natural,6,30,0.2
Honduras,2025,COE,Washed,20,30,0.6666666666666666
Indonesia,2021,COE,Honey / pulped natural,2,26,0.07692307692307693
Indonesia,2021,COE,Natural,13,26,0.5
Indonesia,2021,COE,Washed,11,26,0.4230769230769231
Indonesia,2022,COE,Experimental,6,22,0.2727272727272727
Indonesia,2022,COE,Honey / pulped natural,4,22,0.18181818181818182
Indonesia,2022,COE,Natural,4,22,0.18181818181818182
Indonesia,2022,COE,Washed,8,22,0.36363636363636365
Indonesia,2022,NW,Experimental,1,12,0.08333333333333333
Indonesia,2022,NW,Honey / pulped natural,2,12,0.16666666666666666
Indonesia,2022,NW,Natural,3,12,0.25
Indonesia,2022,NW,Washed,6,12,0.5
Indonesia,2023,COE,Experimental,3,22,0.13636363636363635
Indonesia,2023,COE,Honey / pulped natural,3,22,0.13636363636363635
Indonesia,2023,COE,Natural,15,22,0.6818181818181818
Indonesia,2023,COE,Washed,1,22,0.045454545454545456
Indonesia,2023,NW,Experimental,2,2,1
Mexico,2012,COE,Not reported,10,10,1
Mexico,2013,COE,Not reported,15,15,1
Mexico,2014,COE,Not reported,19,19,1
Mexico,2015,COE,Not reported,20,20,1
Mexico,2017,COE,Not reported,22,22,1
Mexico,2018,COE,Natural,6,29,0.20689655172413793
Mexico,2018,COE,Not reported,1,29,0.034482758620689655
Mexico,2018,COE,Washed,22,29,0.7586206896551724
Mexico,2019,COE,Experimental,1,28,0.03571428571428571
Mexico,2019,COE,Honey / pulped natural,2,28,0.07142857142857142
Mexico,2019,COE,Natural,3,28,0.10714285714285714
Mexico,2019,COE,Washed,22,28,0.7857142857142857
Mexico,2021,COE,Honey / pulped natural,6,30,0.2
Mexico,2021,COE,Natural,8,30,0.26666666666666666
Mexico,2021,COE,Washed,16,30,0.5333333333333333
Mexico,2022,COE,Honey / pulped natural,2,30,0.06666666666666667
Mexico,2022,COE,Natural,6,30,0.2
Mexico,2022,COE,Washed,22,30,0.7333333333333333
Mexico,2023,COE,Honey / pulped natural,3,26,0.11538461538461539
Mexico,2023,COE,Natural,12,26,0.46153846153846156
Mexico,2023,COE,Washed,11,26,0.4230769230769231
Mexico,2024,COE,Experimental,10,30,0.3333333333333333
Mexico,2024,COE,Honey / pulped natural,6,30,0.2
Mexico,2024,COE,Natural,4,30,0.13333333333333333
Mexico,2024,COE,Washed,10,30,0.3333333333333333
Mexico,2024,NW,Natural,1,4,0.25
Mexico,2024,NW,Washed,3,4,0.75
Mexico,2025,COE,Experimental,9,30,0.3
Mexico,2025,COE,Honey / pulped natural,6,30,0.2
Mexico,2025,COE,Natural,5,30,0.16666666666666666
Mexico,2025,COE,Washed,10,30,0.3333333333333333
Mexico,2025,NW,Experimental,1,4,0.25
Mexico,2025,NW,Washed,3,4,0.75
Nicaragua,2002,COE,Not reported,23,23,1
Nicaragua,2003,COE,Not reported,37,37,1
Nicaragua,2004,COE,Not reported,29,29,1
Nicaragua,2005,COE,Not reported,35,35,1
Nicaragua,2006,COE,Not reported,25,25,1
Nicaragua,2007,COE,Not reported,34,34,1
Nicaragua,2008,COE,Not reported,25,25,1
Nicaragua,2009,COE,Not reported,26,26,1
Nicaragua,2010,COE,Not reported,27,27,1
Nicaragua,2011,COE,Not reported,27,27,1
Nicaragua,2012,COE,Not reported,25,25,1
Nicaragua,2014,COE,Not reported,24,24,1
Nicaragua,2015,COE,Not reported,30,30,1
Nicaragua,2017,COE,Not reported,25,25,1
Nicaragua,2018,COE,Honey / pulped natural,5,35,0.14285714285714285
Nicaragua,2018,COE,Natural,6,35,0.17142857142857143
Nicaragua,2018,COE,Washed,24,35,0.6857142857142857
Nicaragua,2021,COE,Experimental,1,23,0.043478260869565216
Nicaragua,2021,COE,Honey / pulped natural,5,23,0.21739130434782608
Nicaragua,2021,COE,Natural,7,23,0.30434782608695654
Nicaragua,2021,COE,Washed,10,23,0.43478260869565216
Nicaragua,2022,COE,Honey / pulped natural,4,26,0.15384615384615385
Nicaragua,2022,COE,Natural,12,26,0.46153846153846156
Nicaragua,2022,COE,Washed,10,26,0.38461538461538464
Nicaragua,2023,COE,Honey / pulped natural,1,16,0.0625
Nicaragua,2023,COE,Natural,6,16,0.375
Nicaragua,2023,COE,Washed,9,16,0.5625
Nicaragua,2024,COE,Honey / pulped natural,2,30,0.06666666666666667
Nicaragua,2024,COE,Natural,10,30,0.3333333333333333
Nicaragua,2024,COE,Washed,18,30,0.6
Nicaragua,2025,COE,Honey / pulped natural,1,30,0.03333333333333333
Nicaragua,2025,COE,Natural,14,30,0.4666666666666667
Nicaragua,2025,COE,Washed,15,30,0.5
Peru,2017,COE,Not reported,19,19,1
Peru,2018,COE,Washed,23,23,1
Peru,2019,COE,Honey / pulped natural,1,21,0.047619047619047616
Peru,2019,COE,Washed,20,21,0.9523809523809523
Peru,2021,COE,Natural,7,24,0.2916666666666667
Peru,2021,COE,Washed,17,24,0.7083333333333334
Peru,2022,COE,Natural,5,29,0.1724137931034483
Peru,2022,COE,Washed,24,29,0.8275862068965517
Peru,2023,COE,Experimental,2,30,0.06666666666666667
Peru,2023,COE,Honey / pulped natural,1,30,0.03333333333333333
Peru,2023,COE,Natural,7,30,0.23333333333333334
Peru,2023,COE,Washed,20,30,0.6666666666666666
Peru,2024,COE,Natural,6,25,0.24
Peru,2024,COE,Washed,19,25,0.76
Peru,2024,NW,Washed,7,7,1
Peru,2025,COE,Honey / pulped natural,1,30,0.03333333333333333
Peru,2025,COE,Natural,6,30,0.2
Peru,2025,COE,Washed,23,30,0.7666666666666667
Peru,2025,NW,Natural,1,3,0.3333333333333333
Peru,2025,NW,Washed,2,3,0.6666666666666666
Rwanda,2008,COE,Not reported,24,24,1
Rwanda,2010,COE,Not reported,22,22,1
Rwanda,2011,COE,Not reported,36,36,1
Rwanda,2012,COE,Not reported,26,26,1
Rwanda,2013,COE,Not reported,14,14,1
Rwanda,2014,COE,Not reported,28,28,1
Rwanda,2015,COE,Not reported,21,21,1
Rwanda,2018,COE,Not reported,1,29,0.034482758620689655
Rwanda,2018,COE,Washed,28,29,0.9655172413793104
Taiwan,2024,COE,Honey / pulped natural,3,20,0.15
Taiwan,2024,COE,Natural,13,20,0.65
Taiwan,2024,COE,Washed,4,20,0.2
Taiwan,2024,NW,Natural,3,5,0.6
Taiwan,2024,NW,Washed,2,5,0.4
Taiwan,2025,COE,Honey / pulped natural,7,27,0.25925925925925924
Taiwan,2025,COE,Natural,14,27,0.5185185185185185
Taiwan,2025,COE,Washed,6,27,0.2222222222222222
Thailand,2023,COE,Experimental,1,16,0.0625
Thailand,2023,COE,Honey / pulped natural,5,16,0.3125
Thailand,2023,COE,Natural,8,16,0.5
Thailand,2023,COE,Washed,2,16,0.125
Thailand,2024,COE,Honey / pulped natural,7,27,0.25925925925925924
Thailand,2024,COE,Natural,15,27,0.5555555555555556
Thailand,2024,COE,Washed,5,27,0.18518518518518517
Thailand,2024,NW,Honey / pulped natural,1,4,0.25
Thailand,2024,NW,Natural,1,4,0.25
Thailand,2024,NW,Washed,2,4,0.5
Thailand,2025,COE,Experimental,2,21,0.09523809523809523
Thailand,2025,COE,Honey / pulped natural,7,21,0.3333333333333333
Thailand,2025,COE,Natural,10,21,0.47619047619047616
Thailand,2025,COE,Washed,2,21,0.09523809523809523
Thailand,2025,NW,Honey / pulped natural,1,7,0.14285714285714285
Thailand,2025,NW,Natural,5,7,0.7142857142857143
Thailand,2025,NW,Washed,1,7,0.14285714285714285
